=== LOG DE EXECUÇÃO DETALHADO - MIPS SIMULATOR ===
Arquivo gerado automaticamente para debug
Arquitetura: 32 bits
Entradas programadas: []
============================================================

CICLO   1: PC= 0 | LI GP, 156           | INICIANDO
CICLO 228: PC=30 | BEQ R4, R0, 30       | R4(0) == R0(0) -> Jump to 30
CICLO 229: PC=30 | LI R13, 0            | INICIANDO
CICLO 230: PC=30 | LI R13, 0            | R13 = 0
    ESTADO: R2=5, R3=5, R5=1, R6=5, R7=10, R8=50, R9=16, R10=172, R11=1, R12=5, GP=156, SP=253, FP=253

CICLO 231: PC=31 | MOVE R2, R13         | INICIANDO
CICLO 232: PC=31 | MOVE R2, R13         | R2 = R13 = 0 (era 5)
CICLO 233: PC=32 | SW R2, 0(FP)         | INICIANDO
CICLO 234: PC=32 | SW R2, 0(FP)         | MEM[253] = R2 = 0
CICLO 235: PC=33 | LI R14, 0            | INICIANDO
CICLO 236: PC=33 | LI R14, 0            | R14 = 0
CICLO 237: PC=34 | MOVE R15, R14        | INICIANDO
CICLO 238: PC=34 | MOVE R15, R14        | R15 = R14 = 0 (era 0)
CICLO 239: PC=35 | SW R15, 1(FP)        | INICIANDO
CICLO 240: PC=35 | SW R15, 1(FP)        | MEM[254] = R15 = 0
    ESTADO: R3=5, R5=1, R6=5, R7=10, R8=50, R9=16, R10=172, R11=1, R12=5, GP=156, SP=253, FP=253

CICLO 241: PC=36 | LI R16, 5            | INICIANDO
CICLO 242: PC=36 | LI R16, 5            | R16 = 5
CICLO 243: PC=37 | LW R2, 0(FP)         | INICIANDO
CICLO 244: PC=37 | LW R2, 0(FP)         | R2 = MEM[253] = 0
CICLO 245: PC=38 | SLT R17, R2, R16     | INICIANDO
CICLO 246: PC=38 | SLT R17, R2, R16     | R17 = (R2 < R16) = (0 < 5) = 1
CICLO 247: PC=39 | BEQ R17, R0, 55      | INICIANDO
CICLO 248: PC=39 | BEQ R17, R0, 55      | R17(1) == R0(0) -> Continue
CICLO 249: PC=40 | LW R2, 0(FP)         | INICIANDO
